Symbol,Name,Latest,Change,%Change,"IV Rank","IV Pctl","Options Vol","% Put","% Call","P/C Vol"
NVDA,"Nvidia Corp",228.87,1.49,+0.66%,9.33%,5%,2157337,30.3%,69.7%,0.43448544128306
TSLA,"Tesla Inc",378.9,3.6,+0.96%,14.43%,14%,1554800,39.5%,60.5%,0.65198284691852
AAPL,"Apple Inc",339.75,0.77,+0.23%,43.51%,30%,1281643,26.5%,73.5%,0.36048732175783
MU,"Micron Technology",1096.16,52.2,+5.00%,30.52%,32%,964186,36.6%,63.4%,0.57730493205319
META,"META Platforms",736.59,-4.65,-0.63%,66.02%,87%,936741,35.8%,64.2%,0.55859318455218
INTC,"Intel Corp",123.86,2.08,+1.71%,40.43%,56%,816039,36.6%,63.4%,0.57719477617854
AMZN,"Amazon.com Inc",254.98,-3.47,-1.34%,33.21%,47%,682963,26.2%,73.8%,0.35575512505186
GOOGL,"Alphabet Cl A",351.16,-3.81,-1.07%,41.48%,54%,662414,25.1%,74.9%,0.33425047686764
SPCX,"SpaceX Corp",154.72,2.87,+1.89%,3.35%,12%,644516,48.4%,51.6%,0.93878465735953
AMD,"Adv Micro Devices",623.77,8.25,+1.34%,27.03%,33%,622610,47.7%,52.3%,0.91281559721531
MSFT,"Microsoft Corp",498,-3.61,-0.72%,30.38%,34%,582557,26.5%,73.5%,0.36026273268141
SOFI,"Sofi Technologies Inc",17.16,0.19,+1.12%,7.08%,8%,450925,25.2%,74.8%,0.33675928698266
GME,"Gamestop Corp",24.03,1.27,+5.58%,56.84%,75%,416331,7.6%,92.4%,0.08250952943073
MSTR,"Strategy Inc",167.33,-1.17,-0.69%,27.41%,47%,409209,40.8%,59.2%,0.68782171847159
AVGO,"Broadcom Ltd",364.54,1.88,+0.52%,9.19%,4%,354702,23.7%,76.3%,0.31019783986643
GRAB,"Grab Holdings Ltd Cl A",3.17,0.26,+8.93%,89.21%,98%,330438,12.2%,87.8%,0.13898971097668
BAC,"Bank of America Corp",56.2,-1.76,-3.04%,43.07%,72%,315533,45.8%,54.2%,0.84385281107014
NFLX,"Netflix Inc",72.16,-1.2,-1.64%,24.00%,42%,297974,39.3%,60.7%,0.64797690418778
ORCL,"Oracle Corp",149.2,0.64,+0.43%,22.54%,24%,294487,23.7%,76.3%,0.31000720646981
GOOG,"Alphabet Cl C",347.41,-3.46,-0.99%,38.72%,52%,282194,31.1%,68.9%,0.45158535832596
IREN,"Iren Limited",48.55,1.32,+2.79%,6.22%,5%,269520,34.2%,65.8%,0.5190472701449
SNDK,"Sandisk Corp",1887.04,120.4,+6.82%,10.37%,8%,261779,37.9%,62.1%,0.61046207605091
PLTR,"Palantir Technologies Cl A",184.99,1.9,+1.04%,27.17%,32%,246355,34.7%,65.3%,0.53231574953506
MRNA,"Moderna Inc",182.56,9.62,+5.56%,30.92%,76%,241320,33.3%,66.7%,0.49971102037772
NU,"NU Holdings Ltd Cl A",14.16,0.1,+0.71%,63.62%,73%,236014,13.5%,86.5%,0.15552095726295
BABA,"Alibaba Group Holding ADR",116.31,0.56,+0.48%,47.40%,41%,192477,18.2%,81.8%,0.2222081113517
AAL,"American Airlines Gp",13.61,0.04,+0.29%,35.25%,39%,186577,26.5%,73.5%,0.35986093598536
NBIS,"Nebius Group N.V. Cl A",236.12,3.32,+1.43%,8.17%,11%,158599,37.1%,62.9%,0.59098569508256
HOOD,"Robinhood Markets Cl A",124.25,0.95,+0.77%,34.02%,35%,158071,33.7%,66.3%,0.50793696220403
AMC,"AMC Entertainment Holdings",2.97,0.08,+2.77%,30.29%,35%,157767,45.6%,54.4%,0.83946227031061
WBD,"Discovery Inc Series A",30.83,0.03,+0.10%,5.77%,12%,154420,80.0%,20.0%,3.9880483235351
NKE,"Nike Inc",36.1,0,0.00%,75.03%,84%,153589,39.6%,60.4%,0.65500037714298
MRVL,"Marvell Technology Inc",262.36,4.98,+1.93%,37.86%,50%,150216,37.6%,62.4%,0.60303926067423
SMCI,"Super Micro Computer",41.54,0.34,+0.83%,36.47%,41%,149697,31.1%,68.9%,0.45207193574671
WMT,"Walmart Inc",110.12,2.68,+2.49%,31.96%,33%,149660,22.3%,77.7%,0.28768584801762
SKHY,"SK hynix Inc",195.37,6.51,+3.45%,7.50%,26%,144481,34.1%,65.9%,0.51681311874692
HIMS,"Hims & Hers Health Inc",30.43,1.08,+3.68%,20.99%,25%,142683,19.2%,80.8%,0.23740763867208
PCG,"Pacific Gas & Electric Company",12.88,-0.06,-0.46%,49.22%,86%,141108,8.3%,91.7%,0.091044049082601
RKLB,"Rocket Lab Corp",71.98,2.09,+2.99%,15.09%,9%,140034,23.4%,76.6%,0.30565397381867
MARA,"Mara Holdings Inc",13.63,0.35,+2.64%,12.25%,18%,139839,32.4%,67.6%,0.47913603621709
ASTS,"Ast Spacemobile Inc",63.69,1.8,+2.91%,11.37%,7%,139545,20.1%,79.9%,0.25143487462783
VKTX,"Viking Thera",40.85,10.74,+35.67%,31.50%,51%,136333,27.7%,72.3%,0.38291203440721
SHOP,"Shopify Inc",147.74,9.82,+7.12%,37.37%,39%,128468,24.7%,75.3%,0.3283838279392
CIFR,"Cipher Digital Inc",19.09,0.19,+1.01%,9.28%,10%,124167,27.4%,72.6%,0.37701700103137
UBER,"UBER Technologies",69.89,-0.95,-1.34%,33.58%,31%,123826,25.5%,74.5%,0.34201085955196
COIN,"Coinbase Global Cl A",201.07,0.02,+0.01%,37.63%,38%,123604,36.2%,63.8%,0.56672962113242
